vs_id,vs_name,mla_name,party,phone,email,office_address,education,assets_crores
59,Vishwas Nagar,Om Prakash Sharma,BJP,011-23392059,vishwasnagar.mla@delhi.gov.in,"Delhi Vidhan Sabha, Old Secretariat, Delhi 110054",Graduate,N/A
60,Krishna Nagar,Dr Anil Goyal,BJP,011-23392060,krishnanagar.mla@delhi.gov.in,"Delhi Vidhan Sabha, Old Secretariat, Delhi 110054",Post Graduate,78
61,Gandhi Nagar,Arvinder Singh Lovely,BJP,011-23392061,gandhinagar.mla@delhi.gov.in,"Delhi Vidhan Sabha, Old Secretariat, Delhi 110054",Graduate,N/A
62,Shahdara,Sanjay Goyal,BJP,011-23392062,shahdara.mla@delhi.gov.in,"Delhi Vidhan Sabha, Old Secretariat, Delhi 110054",Graduate Professional,54
63,Seemapuri,Veer Singh Dhingan,AAP,011-23392063,seemapuri.mla@delhi.gov.in,"Delhi Vidhan Sabha, Old Secretariat, Delhi 110054",10th Pass,N/A
64,Rohtas Nagar,Jitender Mahajan,BJP,011-23392064,rohtasnagar.mla@delhi.gov.in,"Delhi Vidhan Sabha, Old Secretariat, Delhi 110054",Graduate,2
65,Seelampur,Chaudhary Zubair Ahmad,AAP,011-23392065,seelampur.mla@delhi.gov.in,"Delhi Vidhan Sabha, Old Secretariat, Delhi 110054",Graduate,3
66,Ghonda,Ajay Mahawar,BJP,011-23392066,ghonda.mla@delhi.gov.in,"Delhi Vidhan Sabha, Old Secretariat, Delhi 110054",Post Graduate,7
67,Babarpur,Gopal Rai,AAP,011-23392067,babarpur.mla@delhi.gov.in,"Delhi Vidhan Sabha, Old Secretariat, Delhi 110054",Post Graduate,N/A
68,Gokalpur,Surendra Kumar,AAP,011-23392068,gokalpur.mla@delhi.gov.in,"Delhi Vidhan Sabha, Old Secretariat, Delhi 110054",Others,4
69,Mustafabad,Mohan Singh Bisht,BJP,011-23392069,mustafabad.mla@delhi.gov.in,"Delhi Vidhan Sabha, Old Secretariat, Delhi 110054",12th Pass,N/A
70,Karawal Nagar,Kapil Mishra,BJP,011-23392070,karawalnagar.mla@delhi.gov.in,"Delhi Vidhan Sabha, Old Secretariat, Delhi 110054",Post Graduate,1
